         SEQ_ID,  PER(VLXT),  RNK(VLXT), PER(VSL2B), RNK(VSL2B),   PER(VL3),   RNK(VL3), PER(IUP_S), RNK(IUP_S), PER(IUP_L), RNK(IUP_L),  PER(PFIT),  RNK(PFIT),   PER(MDP),   RNK(MDP),       dCDF,        dCH,   len(seq)
     A0A4P7N8E2,      17.70,  0.2618654,      43.36,  0.4663758,      29.20,  0.3292815,      29.20,  0.3714397,      25.66,  0.4010122,      28.32,  0.3694521,      21.24,  0.3665712,  0.1381320, -0.1576320,   113
     A0A1Q1FR04,      11.97,  0.1837059,      10.71,  0.2694613,       0.00,  0.1081013,       1.89,  0.1614801,       0.21,  0.1514242,       6.09,  0.1811844,       0.42,  0.1578760,  0.2108267, -0.0979170,   476
     A0AA37R2E6,      26.46,  0.3748445,      28.87,  0.4011310,      22.68,  0.3453078,       5.50,  0.2606708,       4.81,  0.2662949,      12.03,  0.2563310,       1.37,  0.2598788,  0.0255708, -0.2097487,   291
     A0A0U1AN13,      35.76,  0.4141821,      17.44,  0.3741886,       7.85,  0.2672531,      11.05,  0.2797539,       7.27,  0.3293477,      11.34,  0.2521314,       6.10,  0.2749339, -0.0119027, -0.1261179,   344
         P00558,      14.90,  0.2297854,      18.51,  0.3622252,      17.07,  0.3103196,       4.57,  0.2236106,       1.68,  0.2538465,       6.01,  0.2073622,       1.68,  0.2128050,  0.1686513, -0.2300858,   416
     A0A7H0DN89,      19.64,  0.2624329,      18.30,  0.3381707,       7.14,  0.2883782,       4.46,  0.2021062,       2.68,  0.1741566,       8.93,  0.2568984,       0.89,  0.2056275,  0.1357872, -0.1295804,   224
     A0A6B9TNK2,      21.90,  0.2614135,      13.64,  0.2915631,       0.00,  0.1812134,       3.72,  0.1459736,       1.24,  0.1350469,       6.20,  0.1981636,       2.89,  0.1720268,  0.1383458, -0.1585557,   242
     A0A6J1T1Q2,      44.92,  0.4393273,      46.61,  0.4853007,      34.75,  0.3798331,      16.10,  0.2634805,       3.39,  0.2102397,      37.29,  0.4328119,      32.20,  0.3684990, -0.0365455, -0.0454279,   118
         Q9HJN6,      20.53,  0.2740757,       6.62,  0.2890309,       0.00,  0.1613594,       5.96,  0.1690000,       0.00,  0.1448984,      15.23,  0.2365951,       0.66,  0.1856000,  0.1237557, -0.2038414,   151
         Q4ADJ7,      11.14,  0.1717980,      22.59,  0.3741014,       5.72,  0.2584482,       3.61,  0.2039972,       1.20,  0.2321154,       6.93,  0.1896645,       1.51,  0.1952794,  0.2239354, -0.1473088,   332
         P32092,       9.05,  0.1667835,      11.11,  0.3054796,      11.52,  0.2001404,       4.53,  0.1514720,       0.00,  0.1268224,       3.70,  0.1799721,       0.00,  0.1550883,  0.2278001, -0.0865495,   243
         I7G9Z0,      26.58,  0.3784996,      17.09,  0.3453349,       0.00,  0.2242326,       6.96,  0.2746234,       3.80,  0.3033467,      11.39,  0.2389391,       3.80,  0.2567906,  0.0216286, -0.1681634,   158
     A0A4Y8A290,      15.00,  0.2432908,      16.25,  0.3288353,       0.00,  0.1844320,      11.25,  0.2887664,       5.62,  0.2840336,      10.62,  0.2212574,       3.75,  0.2276972,  0.1576176, -0.0100134,   160
         A4XGA6,      10.49,  0.1442500,      13.55,  0.2749788,       0.00,  0.1671732,       2.30,  0.1061394,       0.00,  0.0878207,       4.09,  0.1610417,       0.51,  0.1290385,  0.2446684, -0.0819942,   391
         P20073,      14.29,  0.2942182,      28.57,  0.3802413,       9.63,  0.2505933,       6.64,  0.2317741,       4.32,  0.2438591,      11.63,  0.2563985,       3.32,  0.2344151,  0.1061413, -0.1430205,   301
         P04179,       7.54,  0.1470773,      12.56,  0.3318919,       0.00,  0.1371728,       5.03,  0.2544770,       2.01,  0.2595213,       7.04,  0.2019647,       3.02,  0.1991554,  0.2453406, -0.1217805,   199
     A0A5J6VBC3,      21.59,  0.2299639,      32.95,  0.3758156,       3.98,  0.2630950,       7.39,  0.2102563,       0.00,  0.1868095,      13.07,  0.2734961,       6.25,  0.2127235,  0.1677880, -0.0897432,   176
     A0A094VLP5,      19.82,  0.2590281,      36.87,  0.3978109,       8.29,  0.2402490,      11.98,  0.2708087,       8.76,  0.2759282,      11.06,  0.2876749,       0.00,  0.2485418,  0.1397979, -0.1681110,   217
     A0A0H2ZMK9,      19.00,  0.2860932,       4.07,  0.2890846,       0.00,  0.1659111,       0.90,  0.1767299,       0.90,  0.2056864,       2.49,  0.1657220,       0.45,  0.1872195,  0.1109237, -0.2284532,   442
     A0A1N5W3X4,      18.46,  0.2553615,      20.33,  0.3416341,       3.32,  0.1727113,       1.66,  0.1749000,       0.21,  0.1733624,      13.28,  0.2370070,       0.62,  0.1970441,  0.1424439, -0.0810100,   482
     A0A0E8VY41,      40.26,  0.4263667,      27.91,  0.4021488,      15.99,  0.2922880,      15.12,  0.2933291,      14.97,  0.3373981,       9.30,  0.2515942,       3.05,  0.2851394, -0.0262923, -0.1314603,   688
         Q73MJ7,      14.10,  0.2437167,      22.44,  0.3566829,       0.00,  0.2082494,      10.90,  0.2993576,       6.41,  0.2755463,      13.46,  0.2743780,       4.49,  0.2416136,  0.1523452, -0.0596005,   156
         P54829,      23.05,  0.2611226,      17.02,  0.3252133,       3.90,  0.2921601,       6.03,  0.2123308,       0.35,  0.2319757,       8.51,  0.1976742,       2.48,  0.2047194,  0.1377993, -0.0993346,   282
         C7C422,      13.04,  0.1749723,      24.78,  0.3658750,       8.70,  0.1591034,       7.39,  0.2424461,       2.61,  0.2706071,      12.61,  0.2466071,       7.83,  0.2167513,  0.2211773, -0.2279077,   230
     A0A0D5MKR6,       8.73,  0.2147496,      11.11,  0.3301146,       0.00,  0.1569642,       4.76,  0.2499195,       3.57,  0.2583801,       8.33,  0.2148055,       1.98,  0.2113282,  0.1848695, -0.1395341,   252
         Q99ZW2,      26.15,  0.3325067,      12.84,  0.3615208,       0.92,  0.3228195,       6.42,  0.1715601,       0.00,  0.1533834,      10.09,  0.2523590,       3.21,  0.2118884,  0.0670270, -0.0672182,   218
     A0A0H6LKE4,      16.33,  0.2271706,      12.67,  0.3347186,       0.00,  0.1225700,       3.67,  0.2323442,       1.00,  0.2646050,       5.00,  0.1984581,       0.33,  0.2095495,  0.1720760, -0.1739696,   300
     A0A8H4QK56,      24.40,  0.2966722,      20.48,  0.3684119,      10.84,  0.2895068,      19.28,  0.2839201,      15.96,  0.3093418,       9.94,  0.2164686,      11.75,  0.2940536,  0.1011944, -0.2526068,   332
         P29068,      22.91,  0.2422327,      32.82,  0.4142521,       3.72,  0.2049544,       4.95,  0.2639190,       9.29,  0.3092564,      24.15,  0.3108523,       7.12,  0.2567520,  0.1520583, -0.0281988,   323
     A0A832SYB5,      34.74,  0.3694037,       9.06,  0.3154769,       0.91,  0.1915792,       2.42,  0.1782785,       0.00,  0.1999402,       5.44,  0.1903617,       0.30,  0.2089101,  0.0302743, -0.2740272,   331
         P23930,      11.96,  0.1700109,       4.90,  0.2114491,       0.00,  0.1404620,       0.59,  0.1068176,       0.00,  0.1057439,       3.14,  0.1445846,       0.20,  0.1231011,  0.2240761, -0.3353800,   510
         Q02088,      81.99,  0.6802498,     100.00,  0.9427459,     100.00,  0.7525474,      39.13,  0.4797694,      88.20,  0.5921183,      99.38,  0.8353970,     100.00,  0.7138047, -0.2810897,  0.2290075,   161
         Q8A7N4,      18.08,  0.2198406,      16.33,  0.3129822,       0.00,  0.1471376,       4.96,  0.2188872,       2.04,  0.2452253,       6.12,  0.2141117,       2.92,  0.2018412,  0.1770546, -0.1236936,   343
         G3XDA2,      31.80,  0.3701171,      15.05,  0.3917482,       6.55,  0.2374732,       5.34,  0.2567518,       9.71,  0.2929821,      13.11,  0.2743347,       3.40,  0.2643223,  0.0296261, -0.2332441,   412
         P27708,      29.83,  0.3670013,      22.10,  0.3654348,       9.67,  0.2845542,       9.67,  0.2563598,       9.12,  0.2946190,      11.88,  0.2495803,       5.52,  0.2554992,  0.0326487, -0.2018045,   362
         Q63J95,      37.30,  0.3870357,      31.75,  0.3946418,       2.38,  0.2378312,       9.52,  0.3532301,       8.73,  0.3567104,      22.22,  0.3420678,       6.35,  0.3056143,  0.0122505, -0.1265464,   126
     A0A383V1B5,      22.83,  0.3627671,      25.00,  0.4072314,       0.00,  0.3078221,      27.17,  0.3400588,      18.48,  0.3099098,      26.09,  0.3562124,      14.13,  0.2960300,  0.0376990, -0.0170034,    92
         Q93MS3,      26.75,  0.3224532,      17.28,  0.3315344,       0.00,  0.2142503,       8.64,  0.2361415,       7.82,  0.2458976,       5.35,  0.2216509,       0.00,  0.2262796,  0.0784174, -0.2450840,   243
     A0A1S6QFV5,      21.26,  0.2717862,      16.09,  0.3299429,       0.00,  0.2112792,       6.32,  0.2173344,       0.00,  0.1973609,       9.20,  0.2427293,       2.30,  0.2098590,  0.1263174, -0.1085683,   174
         Q53Y41,      22.92,  0.2501650,      11.67,  0.2717815,       0.42,  0.2313696,       2.71,  0.1326205,       0.00,  0.1197469,       5.42,  0.1781135,       2.08,  0.1587379,  0.1478258, -0.2461427,   480
         P26663,      23.22,  0.3068475,      18.16,  0.3334970,      14.71,  0.2563809,       9.43,  0.2066771,       4.14,  0.2192080,      14.48,  0.2297936,      12.64,  0.2587341,  0.0903403, -0.2576362,   435
         P43019,      20.87,  0.2578853,      18.45,  0.3545321,       0.00,  0.1604129,       9.22,  0.2507068,       7.77,  0.2543577,      12.14,  0.2486217,       2.43,  0.2276839,  0.1412766, -0.1255543,   206
         E7FRT5,       5.28,  0.1418938,      40.00,  0.4322973,      14.72,  0.3253136,       9.43,  0.3075925,      15.09,  0.3766940,      11.70,  0.2603665,       6.04,  0.2531407,  0.2527238, -0.0977132,   265
         A6TGD6,      30.79,  0.3320131,       7.36,  0.2908716,       0.00,  0.1643091,       3.27,  0.1562604,       0.54,  0.1837628,       5.72,  0.1977622,       2.18,  0.1934449,  0.0670232, -0.2589631,   367
     A0A454DK07,       9.43,  0.1755806,      23.71,  0.3564492,       0.00,  0.0949632,       3.71,  0.2590332,       2.00,  0.2631724,       8.57,  0.2490206,       2.00,  0.2172092,  0.2211711, -0.0147867,   350
         Q9RA02,      36.90,  0.3900286,      24.09,  0.3961062,      12.62,  0.2757286,      11.66,  0.3189528,      15.87,  0.3748645,       8.80,  0.2491503,       5.54,  0.2881836,  0.0102550, -0.1455239,   523
         Q5Q041,      22.38,  0.2631685,      13.08,  0.3102508,       0.00,  0.1116701,       4.13,  0.2259533,       7.40,  0.2590223,       3.96,  0.1832500,       0.52,  0.2069408,  0.1332296, -0.1668275,   581
         Q3SAW3,      28.52,  0.3105950,      23.57,  0.3802575,      11.03,  0.2103331,      11.03,  0.2598503,      10.65,  0.3025110,      15.21,  0.2684857,       7.60,  0.2536166,  0.0881000, -0.1808247,   263
         H9MZI2,      38.22,  0.3935609,      10.89,  0.3308108,       0.00,  0.1270649,       2.77,  0.2186367,       0.59,  0.2559864,       5.54,  0.2101078,       1.58,  0.2348505,  0.0054455, -0.2564394,   505
         Q21KS2,       6.38,  0.1647468,       9.44,  0.2948372,       1.28,  0.1200865,       3.06,  0.1803706,       0.26,  0.1766421,       5.36,  0.1806225,       2.55,  0.1662032,  0.2307170, -0.0552260,   392
         Q6T9Z7,      13.76,  0.2592938,      13.76,  0.3860321,      11.47,  0.2652407,       8.72,  0.2946073,       4.13,  0.3141727,       8.72,  0.2384633,       2.29,  0.2487615,  0.1385866, -0.0245281,   218
     A0A242MJ43,       7.47,  0.1649555,       8.19,  0.3014691,       0.00,  0.1082012,       4.98,  0.1958199,       0.71,  0.1902439,       5.34,  0.1754407,       0.71,  0.1713215,  0.2328600, -0.1966792,   281
         Q9LYJ5,      11.28,  0.1719442,      26.92,  0.4028501,      11.79,  0.2655287,      11.28,  0.2638083,       6.41,  0.2769642,      14.87,  0.2520532,      13.08,  0.2721914,  0.2222812, -0.1959342,   390
         O26054,      11.95,  0.1734993,      19.12,  0.2947784,       0.00,  0.1375379,       3.59,  0.1344502,       2.79,  0.1195614,      12.35,  0.2219132,       3.98,  0.1573670,  0.2221570, -0.1268922,   251
     A0A2A5PFR1,      25.89,  0.3134741,      15.62,  0.3289529,       0.00,  0.1932598,       5.80,  0.2515760,       3.57,  0.2529993,       4.69,  0.1985369,       0.00,  0.2242565,  0.0845595, -0.1783708,   448
         P0AEP7,      27.27,  0.3278534,       4.88,  0.2702534,       1.18,  0.2031819,       1.85,  0.1556588,       0.00,  0.1760201,       3.37,  0.1747400,       0.67,  0.1840876,  0.0717864, -0.2610467,   594
         Q9UGN5,      20.68,  0.2793973,      23.80,  0.3708236,      17.00,  0.2794544,       3.12,  0.2072294,       1.13,  0.2385272,       8.22,  0.2298120,       1.42,  0.2209649,  0.1196519, -0.1537305,   353
         A0QZY0,      13.56,  0.2487538,      22.28,  0.3680857,       7.02,  0.2315216,      10.65,  0.2790079,       8.23,  0.3132709,       6.78,  0.2163449,       3.15,  0.2375772,  0.1501978, -0.1099026,   413
         Q2L6E4,      12.61,  0.2094469,       5.60,  0.2641254,       0.00,  0.1359686,       2.52,  0.1411462,       0.00,  0.1383841,       5.32,  0.1649483,       1.12,  0.1530086,  0.1858266, -0.2590676,   357
     A0A7U4E834,       8.08,  0.1490580,      14.96,  0.2946919,       0.00,  0.1033694,       2.85,  0.1633545,       0.24,  0.1544556,       8.08,  0.1970014,       1.90,  0.1597603,  0.2440324, -0.0779715,   421
         Q8TZT0,      39.20,  0.3735909,      19.47,  0.3418580,       9.60,  0.3010042,       2.93,  0.1289441,       0.00,  0.1240719,       6.13,  0.2299850,       1.60,  0.1997418,  0.0256093, -0.1593399,   375
         Q58970,       9.57,  0.1684696,      15.96,  0.3209759,       0.00,  0.2417255,       1.06,  0.1701287,       0.00,  0.1646347,       7.45,  0.1785184,       0.00,  0.1671212,  0.2307958, -0.1903200,   188
     A0A8F7RQ58,       4.71,  0.1299865,      29.02,  0.4126857,       0.00,  0.1845432,       9.02,  0.3235430,       3.92,  0.3579173,       8.63,  0.2654217,       3.14,  0.2482590,  0.2659387, -0.0605116,   255
         P0A9N4,       9.80,  0.1771972,      17.96,  0.3131554,       0.00,  0.1755965,       3.27,  0.1916629,       0.82,  0.1862676,       4.49,  0.2029195,       0.00,  0.1785338,  0.2183956, -0.1167462,   245
     A0A8T0NWI5,      33.60,  0.3747292,      56.00,  0.4924605,      45.20,  0.4469235,      23.20,  0.3655496,      24.40,  0.4081027,      30.80,  0.3742746,      24.00,  0.4103401,  0.0239426, -0.0996909,   250
     A0A126JJ68,      12.50,  0.2354970,      40.28,  0.4189209,      29.86,  0.3800309,       4.86,  0.1346597,       0.00,  0.0893634,      29.17,  0.3665514,       0.69,  0.2074987,  0.1583815, -0.1278783,   144
     A0A7S9SVX7,      17.68,  0.2788695,      13.41,  0.3062041,       0.00,  0.1180782,       4.27,  0.2134416,       1.22,  0.2279434,      12.20,  0.2201786,       0.00,  0.2077729,  0.1208645, -0.0980925,   164
         P0AEY0,      10.93,  0.1477559,      19.67,  0.3521619,       8.20,  0.2034212,       5.46,  0.2357806,       7.65,  0.2597170,       6.56,  0.2061078,       3.01,  0.2002539,  0.2467808, -0.1331697,   366
         Q6P1N9,       5.08,  0.1566111,       5.08,  0.3114336,       0.00,  0.2122163,       1.69,  0.1895231,       0.00,  0.1827773,       5.08,  0.1599412,       0.00,  0.1667144,  0.2411664, -0.1516840,   295
         F8G0P2,      17.82,  0.2540214,       7.87,  0.2952531,       0.00,  0.1512887,       2.31,  0.1897249,       0.23,  0.2046829,       4.17,  0.1694936,       0.93,  0.1855293,  0.1415990, -0.1831950,   432
         O67181,       7.64,  0.1403229,      14.58,  0.2877544,       0.00,  0.1516050,       5.56,  0.1319014,       0.00,  0.0976723,      11.11,  0.2066831,       1.39,  0.1440556,  0.2545619, -0.1681037,   144
         C5WNL8,      28.00,  0.3059273,      52.00,  0.4753415,      38.40,  0.4067999,      18.80,  0.3287480,      18.80,  0.3562714,      25.60,  0.3427265,      22.40,  0.3693026,  0.0927426, -0.1272198,   250
         G3F7G9,      15.04,  0.2150779,       6.41,  0.2900577,       0.00,  0.0950739,       2.51,  0.2074624,       0.28,  0.2299740,       5.57,  0.1739938,       1.11,  0.1860944,  0.1796422, -0.1715722,   359
         Q72UC8,      30.70,  0.3228189,      33.63,  0.3968581,      25.15,  0.3257127,       4.68,  0.2141143,       0.00,  0.2216399,      16.96,  0.2910338,      11.11,  0.2953628,  0.0736958, -0.1492682,   342
     A0A1H8IKU3,      28.48,  0.3717602,      22.19,  0.3776203,       0.00,  0.1742795,      11.92,  0.3099646,      15.89,  0.3614271,      11.26,  0.2774296,       4.64,  0.2830337,  0.0272326, -0.1291373,   302
         Q9HUP2,      20.21,  0.3020826,      14.29,  0.3372296,       0.00,  0.1965566,       5.57,  0.2406780,       2.44,  0.2583228,      12.54,  0.2211016,       3.14,  0.2265691,  0.0968227, -0.1719172,   287
     A0A0B0SD75,      39.33,  0.4382895,      29.33,  0.4122977,      12.67,  0.3499529,      12.67,  0.2838806,      14.00,  0.3202782,      11.00,  0.2936016,       5.67,  0.2913914, -0.0364241, -0.2951258,   300
         P06525,      18.21,  0.2392786,      12.93,  0.3271674,       5.28,  0.2508884,       4.22,  0.2107728,       1.32,  0.2368961,       4.49,  0.1913390,       0.53,  0.2009089,  0.1564814, -0.2064263,   379
     A0A1H5ILA2,      27.75,  0.3495294,      16.40,  0.3310833,       0.00,  0.2405678,       3.42,  0.1806026,       1.80,  0.1896267,       6.85,  0.2172676,       1.44,  0.2113516,  0.0505174, -0.2636692,   555
     A0A7D3Q7Y7,       9.91,  0.1889558,       9.91,  0.2857676,       0.00,  0.1399344,       2.17,  0.1892152,       0.00,  0.1731519,       4.33,  0.1711876,       1.24,  0.1680463,  0.2087147, -0.1752584,   323
         Q994Q3,      16.16,  0.2659701,       7.07,  0.2476080,       0.00,  0.1066558,       7.07,  0.1721374,       0.00,  0.1195020,      12.12,  0.2152686,       0.00,  0.1700810,  0.1343284, -0.2768943,    99
         P00947,      35.20,  0.3697171,      20.00,  0.3128053,       0.00,  0.1523049,      11.20,  0.2076489,       2.40,  0.1788950,      22.40,  0.3023444,      10.40,  0.2285685,  0.0317426, -0.2626846,   125
     A0A0B6AVD3,      12.11,  0.1895229,      20.54,  0.3537254,      12.89,  0.2522891,       2.52,  0.2086558,       2.23,  0.2291488,       4.36,  0.1880138,       2.13,  0.1948444,  0.2047155, -0.0923732,  1032
         P38489,      16.20,  0.2595304,      40.28,  0.4083508,      15.74,  0.2587024,      14.35,  0.2718394,      12.50,  0.2816173,      19.91,  0.3051792,       5.56,  0.2544195,  0.1398630, -0.1671095,   216
     A0A8F7I7M8,      23.23,  0.2924933,      15.16,  0.3219916,       0.00,  0.1932809,       5.13,  0.2390896,       5.62,  0.2698402,       7.33,  0.2265400,       0.00,  0.2249925,  0.1064272, -0.1905748,   409
         H9A9Y0,      17.21,  0.2366366,      16.39,  0.3456050,       4.92,  0.3011027,       9.84,  0.2147279,       0.00,  0.1788821,      17.21,  0.2414360,       4.92,  0.2028813,  0.1577098, -0.0603364,   122
         Q9BYM8,      18.62,  0.2089921,      35.17,  0.4179836,      15.17,  0.4104544,       0.69,  0.0934427,       0.00,  0.0964545,      13.10,  0.2430318,       1.38,  0.2450599,  0.1864323, -0.1233933,   145
         G0S583,      22.47,  0.2813179,      18.99,  0.3146377,       1.58,  0.2290604,       3.80,  0.1750449,       0.95,  0.1926994,       7.28,  0.2117273,       2.53,  0.1959046,  0.1178311, -0.2277198,   316
     A0A6L9JNN3,       9.75,  0.1541039,      18.87,  0.3078534,       0.00,  0.1906532,       2.20,  0.1059884,       0.00,  0.0846993,       7.23,  0.1892364,       0.31,  0.1403135,  0.2416232, -0.1872502,   318
     A0A6L9JR93,       2.82,  0.1387718,       7.21,  0.2921057,       0.00,  0.1051778,       2.19,  0.0876781,       0.00,  0.0689293,       5.02,  0.1693188,       0.94,  0.1261340,  0.2572473, -0.1906446,   319
         Q16762,      28.52,  0.3251321,      25.77,  0.3582378,      17.87,  0.2626677,      11.00,  0.2448268,       5.84,  0.2362832,       7.22,  0.2196477,       2.06,  0.2306880,  0.0711034, -0.1483154,   291
         P05326,       7.25,  0.1547004,      16.01,  0.3359224,      12.69,  0.1769948,      13.90,  0.2573865,       9.67,  0.2650501,       8.76,  0.2107544,       5.74,  0.2039690,  0.2409993, -0.0795327,   331
         I9KU82,      16.22,  0.2531938,      17.76,  0.3533342,      14.67,  0.2761521,       6.95,  0.2000088,       0.39,  0.1784021,      11.58,  0.2222720,       1.93,  0.2012018,  0.1452406, -0.1580668,   259
         Q6GGE2,      28.38,  0.3034413,      27.03,  0.3981160,      16.55,  0.2687853,       8.78,  0.2740333,       8.78,  0.3206719,      16.89,  0.2824477,      15.54,  0.3079159,  0.0946614, -0.0820118,   296
         P53638,      13.54,  0.1951559,      21.35,  0.3470757,       0.00,  0.1149858,       3.65,  0.2207865,       4.17,  0.2274517,       8.33,  0.2207609,       3.65,  0.2018717,  0.1968363, -0.1082972,   192
         Q7Y041,       9.26,  0.2217605,      19.44,  0.3352100,       0.00,  0.0908325,      10.19,  0.2454769,       0.00,  0.2199863,      18.52,  0.2710719,       0.00,  0.2155843,  0.1748167, -0.1351585,   108
         Q12713,      12.87,  0.1566938,      21.78,  0.3440136,       0.00,  0.1180887,       3.30,  0.2278082,       0.99,  0.2349926,      11.22,  0.2492770,       0.66,  0.2021309,  0.2369637, -0.1962333,   303
         P24280,      23.99,  0.2833698,      29.05,  0.3926262,      25.00,  0.2947657,      14.19,  0.2335895,      10.47,  0.2127794,      17.23,  0.2571423,      16.22,  0.2790454,  0.1113845, -0.0873896,   296
     A0A0K8RJV9,      14.36,  0.2215689,       6.65,  0.2810637,       0.00,  0.1421564,       1.60,  0.1330393,       0.27,  0.1299282,       4.52,  0.1819172,       1.06,  0.1579196,  0.1761415, -0.2378354,   376
         U7D706,      25.90,  0.2535131,      21.22,  0.3493248,       0.00,  0.1857908,       4.32,  0.2627413,       3.60,  0.2734216,       6.12,  0.2244001,       1.08,  0.2272335,  0.1437282, -0.0794336,   278
         Q9NZ08,       8.38,  0.1624671,      17.35,  0.3079065,       3.49,  0.1706310,       1.75,  0.1524286,       0.70,  0.1459015,       4.89,  0.1778757,       1.28,  0.1577633,  0.2322036, -0.1788316,   859
         Q8RFW9,       8.07,  0.1785741,      19.73,  0.3700358,      21.08,  0.3511951,       4.48,  0.1560184,       0.00,  0.1565255,       4.93,  0.1807398,       0.90,  0.1736490,  0.2210341, -0.1223020,   223
         Q9Y3D6,      21.60,  0.2371813,      48.00,  0.4601471,      36.80,  0.4085869,      12.80,  0.2257264,       2.40,  0.1986164,      17.60,  0.3232820,       6.40,  0.2408256,  0.1577426, -0.0657816,   125
         D3E451,      13.87,  0.1696990,      24.82,  0.3957589,       9.49,  0.3373596,       6.57,  0.1808234,       0.00,  0.1610414,      17.52,  0.2428602,       1.46,  0.1916971,  0.2297572, -0.1439559,   137
         Q9Y6W6,      10.74,  0.1943481,      14.77,  0.3037533,       0.00,  0.1681688,       6.04,  0.1707671,       0.00,  0.1456209,      19.46,  0.2675928,       4.70,  0.1803471,  0.2052727, -0.1780995,   149
         C3SRV3,      35.81,  0.3773847,      15.16,  0.3261936,       0.00,  0.2463960,       2.58,  0.1910561,       0.00,  0.2110274,       9.03,  0.2267762,       1.29,  0.2220730,  0.0212264, -0.3059144,   310
