         SEQ_ID,  PER(VLXT),  RNK(VLXT), PER(VSL2B), RNK(VSL2B),   PER(VL3),   RNK(VL3), PER(IUP_S), RNK(IUP_S), PER(IUP_L), RNK(IUP_L),  PER(PFIT),  RNK(PFIT),   PER(MDP),   RNK(MDP),       dCDF,        dCH,   len(seq)
         Q5SI28,      34.99,  0.3913003,      16.30,  0.3568358,      10.54,  0.3043478,       6.36,  0.1949868,       5.77,  0.2168785,       5.96,  0.2184342,       0.80,  0.2297394,  0.0090428, -0.2097186,   503
         P04079,      20.57,  0.2745673,      12.00,  0.2895668,       4.57,  0.1844549,       4.38,  0.1628869,       3.05,  0.1723679,       8.19,  0.1794845,       4.00,  0.1798123,  0.1246949, -0.1931255,   525
     A0A0R1BBX7,      21.26,  0.2981009,      10.34,  0.3065929,       0.00,  0.1837670,       3.83,  0.1928714,       2.49,  0.2091747,       6.32,  0.1888027,       3.45,  0.1992572,  0.1014131, -0.1825566,   522
         P08243,       9.27,  0.1594613,       6.95,  0.2796374,       1.07,  0.1695974,       1.78,  0.1333693,       0.00,  0.1362385,       2.32,  0.1423672,       0.36,  0.1418456,  0.2362595, -0.1732490,   561
         P61823,      21.33,  0.2637763,      55.33,  0.4984065,      18.67,  0.3447933,       4.67,  0.2190481,       4.67,  0.2403934,      29.33,  0.3740129,       6.67,  0.2659397,  0.1354093, -0.1574809,   150
         Q9Y223,      12.05,  0.1941458,       4.57,  0.2722905,       0.00,  0.1776131,       1.25,  0.1269012,       0.42,  0.1507610,       2.22,  0.1464703,       0.83,  0.1484282,  0.2030971, -0.2557850,   722
         Q9X1P7,      26.29,  0.3151474,      13.55,  0.3067361,      11.65,  0.2581778,       2.98,  0.1764159,       0.00,  0.1757565,       5.15,  0.1949955,       0.81,  0.1948420,  0.0849567, -0.2142299,   369
         Q9LSV0,      14.53,  0.2604754,      29.76,  0.3976184,      15.57,  0.3245255,       9.00,  0.2069640,       3.46,  0.1967198,      11.07,  0.2365385,       0.69,  0.2163860,  0.1383723, -0.2789928,   289
         Q9DC50,      19.61,  0.2361764,      27.94,  0.3564390,      14.22,  0.2776444,       2.12,  0.1882074,       0.65,  0.1984622,       6.54,  0.2049410,       2.12,  0.1973710,  0.1624257, -0.1371384,   612
         Q98GG1,      21.58,  0.2643061,      25.18,  0.3773238,       0.00,  0.2740304,       8.63,  0.2341251,       2.16,  0.1970551,      16.55,  0.2735224,       8.63,  0.2243888,  0.1354548, -0.0763740,   139
         Q97T38,      20.38,  0.2634709,      23.32,  0.3523814,       8.31,  0.2294685,       4.83,  0.2435713,       2.68,  0.2553287,       5.63,  0.2170954,       1.88,  0.2219745,  0.1315067, -0.1015862,   373
         Q97N97,      22.79,  0.2900315,      14.46,  0.3371720,       4.93,  0.2061417,       6.63,  0.2494418,       6.12,  0.2826252,       4.08,  0.1941844,       1.53,  0.2255758,  0.1092460, -0.1238464,   588
         Q9ZB17,       8.26,  0.1905671,      17.99,  0.3574396,       0.00,  0.1733435,       5.01,  0.2567351,       4.42,  0.2921781,       4.42,  0.2057750,       0.59,  0.2171159,  0.2059786, -0.0868300,   339
         Q9X0A2,      26.57,  0.3005491,       6.64,  0.2759158,       0.00,  0.1982197,       3.50,  0.1598657,       0.00,  0.1549521,       5.94,  0.1764413,       1.40,  0.1779540,  0.0993440, -0.1500487,   286
         Q8NBZ7,      27.14,  0.3529187,      26.67,  0.3737846,      17.38,  0.2949161,       6.90,  0.2354650,       8.10,  0.2739249,      11.67,  0.2426619,      13.10,  0.2956118,  0.0488378, -0.1355205,   420
         Q9XG54,      15.69,  0.2389890,      12.50,  0.3156655,       5.32,  0.1838951,       6.38,  0.2371521,       4.26,  0.2542641,       6.38,  0.1895001,       2.93,  0.2365777,  0.1577905, -0.1232703,   376
         Q7M181,      25.00,  0.3257453,      15.37,  0.3204673,       5.96,  0.1914243,       2.06,  0.1565773,       0.00,  0.1628665,       6.65,  0.2064645,       0.92,  0.1953535,  0.0744811, -0.2954607,   436
         Q70PR7,      23.75,  0.2664423,      21.85,  0.3516187,      14.25,  0.2958876,       5.23,  0.1940106,       2.38,  0.2026171,      11.64,  0.2327884,       7.84,  0.2572275,  0.1296618, -0.1972762,   421
         Q6GFF9,      17.14,  0.2408215,      14.60,  0.3289776,      13.02,  0.2108706,       5.08,  0.2148777,       2.54,  0.2258607,       9.52,  0.2233245,       3.49,  0.2056436,  0.1571711, -0.1486656,   315
         Q5LUF3,      35.68,  0.3845136,      17.33,  0.3531691,       9.10,  0.2732203,       4.70,  0.2575225,       9.10,  0.3086126,       4.85,  0.2149131,       0.88,  0.2531218,  0.0161243, -0.1870727,   681
         Q9P2T1,      25.86,  0.2913104,      29.02,  0.3774849,      15.23,  0.2731933,       3.16,  0.1988482,       0.00,  0.2108988,      12.36,  0.2443192,       2.30,  0.2204770,  0.1069208, -0.2195160,   348
         Q57ZS7,      50.92,  0.4803278,      26.48,  0.3766499,      24.24,  0.3624517,       7.33,  0.2423109,       5.91,  0.2753222,       6.92,  0.2718709,      15.27,  0.3348221, -0.0796546, -0.2345338,   491
         Q54873,      23.92,  0.2657689,      37.80,  0.4394308,      13.79,  0.2984075,      11.26,  0.2844188,      12.20,  0.3315046,       9.29,  0.2771438,       5.72,  0.2663780,  0.1308551, -0.0448310,  1066
         Q53591,      10.67,  0.1620178,      36.18,  0.4284801,       7.32,  0.2598092,      11.28,  0.2816098,      18.50,  0.3433905,       6.40,  0.2605344,       3.96,  0.2460054,  0.2327040, -0.0495280,   984
         Q9GV41,      15.22,  0.1998257,      12.32,  0.3041903,       0.00,  0.1532401,       4.71,  0.1887464,       0.36,  0.1854075,       9.06,  0.1965119,       1.45,  0.1791136,  0.1982063, -0.1653889,   276
         Q4DJ07,      14.13,  0.2272568,      18.37,  0.3402551,      10.60,  0.2298005,       8.83,  0.2470608,       8.13,  0.2741811,       9.89,  0.2081877,       9.54,  0.2544570,  0.1734458, -0.0766604,   283
         Q2K340,      27.38,  0.3285546,      18.02,  0.3401773,      13.69,  0.2457067,       7.11,  0.2178967,       5.03,  0.2563661,       1.65,  0.1825799,       1.21,  0.2209291,  0.0706299, -0.1999955,  1154
         Q2FIA5,      20.78,  0.2812079,       9.13,  0.3169052,       0.00,  0.1495904,       2.05,  0.2007281,       0.00,  0.2206445,       3.20,  0.1712623,       0.46,  0.1984581,  0.1179800, -0.1356250,   438
         Q16851,      20.87,  0.2534913,      22.83,  0.3701931,      13.19,  0.2464122,       5.31,  0.2106751,       2.95,  0.2391732,       5.31,  0.2065925,       3.54,  0.2133543,  0.1454276, -0.1691709,   508
         Q8ZM82,      25.41,  0.3131190,      19.89,  0.3187896,       4.97,  0.1745392,      10.50,  0.2453579,       5.52,  0.2420792,      18.23,  0.2446481,       3.31,  0.2273323,  0.0829249, -0.1058202,   181
         Q12GE3,      15.67,  0.2696941,       9.92,  0.3182285,       3.39,  0.1913223,       4.70,  0.2237147,       3.92,  0.2407350,       7.57,  0.1944955,       4.44,  0.2078112,  0.1307034, -0.2168838,   383
         Q06830,      15.08,  0.2356401,      19.10,  0.3360298,      13.57,  0.2283593,      16.58,  0.2464518,       7.54,  0.2291334,      13.57,  0.2288221,      13.07,  0.2507394,  0.1599134, -0.1717383,   199
         Q06520,       9.12,  0.1640182,      17.54,  0.3165631,       9.12,  0.2383333,       3.16,  0.1436405,       0.00,  0.0997502,       8.77,  0.1941794,       1.40,  0.1530253,  0.2303040, -0.1321367,   285
         P80099,       6.12,  0.1382679,      10.66,  0.2677530,       0.91,  0.1314493,       1.36,  0.1137630,       0.00,  0.0936376,       4.76,  0.1623113,       0.00,  0.1292888,  0.2557879, -0.1163081,   441
         Q96I15,      30.34,  0.3675382,      24.49,  0.4060298,      18.88,  0.3458498,      16.18,  0.3207704,      20.67,  0.3821207,      11.46,  0.2673547,      13.03,  0.3482772,  0.0322594, -0.1803523,   445
         Q68FT9,      37.50,  0.3844304,      16.67,  0.3580715,      10.65,  0.3162643,       9.95,  0.2737324,      14.58,  0.3289174,       7.18,  0.2412627,       5.32,  0.2644024,  0.0152101, -0.1878548,   432
         P77444,      17.73,  0.2595467,       6.16,  0.2818849,       0.00,  0.1210932,       1.72,  0.1706023,       0.25,  0.1868717,       3.69,  0.1643075,       0.00,  0.1772023,  0.1375652, -0.2351074,   406
         P77398,      18.03,  0.2509414,      10.00,  0.2860791,       1.97,  0.1770203,       1.06,  0.1583263,       0.61,  0.1794027,       3.33,  0.1662589,       0.61,  0.1735015,  0.1468031, -0.1945045,   660
         P76015,      21.35,  0.3140582,      11.80,  0.3204306,       0.00,  0.1988649,       4.78,  0.2290114,       1.97,  0.2700417,       6.74,  0.2007905,       1.69,  0.2223888,  0.0862762, -0.1774386,   356
         P71079,      12.40,  0.2824858,      12.00,  0.3149704,       0.00,  0.1932658,       5.60,  0.1809841,       2.40,  0.1963491,       8.80,  0.2031921,       2.00,  0.1963302,  0.1179426, -0.2462116,   250
         Q9X255,      35.27,  0.3793400,      20.16,  0.3412991,      16.28,  0.3193169,       4.26,  0.1765222,       0.00,  0.1732478,      14.34,  0.2898803,       9.30,  0.2799343,  0.0207039, -0.1852593,   258
         Q9HZC0,      24.07,  0.3205348,       5.42,  0.2802876,       0.00,  0.1668000,       3.05,  0.1733529,       0.34,  0.1872213,       8.81,  0.1980572,       2.03,  0.1932422,  0.0779460, -0.2641736,   295
         Q8ZH09,      17.75,  0.2415675,       7.85,  0.3097360,       0.00,  0.1740992,       2.05,  0.1489099,       0.00,  0.1593700,       6.48,  0.1913261,       0.00,  0.1751516,  0.1576539, -0.2408796,   293
         Q8Y8D7,      21.59,  0.2677149,      13.64,  0.3277049,       0.00,  0.1997794,       2.65,  0.1770087,       0.00,  0.1619016,       9.47,  0.2056155,       3.03,  0.1899909,  0.1295305, -0.1641567,   264
         P65774,      13.36,  0.2630325,      14.73,  0.3264942,       0.00,  0.1929703,       2.40,  0.1523883,       0.00,  0.1845363,       7.53,  0.1992339,       0.00,  0.1876142,  0.1382426, -0.2064657,   292
         P62577,       4.11,  0.0689500,       5.48,  0.2413998,       0.00,  0.0836673,       4.57,  0.0980328,       0.00,  0.0663828,       6.85,  0.1683285,       2.74,  0.1071823,  0.3182083, -0.1559437,   219
         Q25861,      11.09,  0.1655806,      17.01,  0.3381850,       5.91,  0.1787385,       3.70,  0.1650724,       2.96,  0.1743817,       6.65,  0.1831359,       2.03,  0.1710594,  0.2325818, -0.1713707,   541
         P91938,      13.93,  0.2493310,      17.28,  0.3325112,       8.72,  0.2065963,       8.39,  0.2139448,       5.20,  0.2397908,      10.23,  0.2002395,       7.38,  0.2404022,  0.1508265, -0.2200860,   596
         P61076,       8.59,  0.1379276,      21.72,  0.3590114,       8.43,  0.1987588,       2.43,  0.1556620,       1.13,  0.1707439,       7.29,  0.1955423,       0.00,  0.1698146,  0.2585628, -0.1459884,   617
         P56839,      27.46,  0.3065077,      12.20,  0.3479638,      11.86,  0.2334054,       5.76,  0.2327209,       1.02,  0.2633195,      10.51,  0.2261768,       4.75,  0.2294482,  0.0925222, -0.1320289,   295
         P53603,      30.50,  0.3485949,      22.74,  0.3488800,      12.75,  0.2950998,       4.62,  0.1972936,       2.96,  0.2198443,      14.23,  0.2415186,       4.99,  0.2260218,  0.0501418, -0.2368543,   541
         Q9R7D7,      24.06,  0.2742901,      17.54,  0.3260352,       0.25,  0.2009782,       2.01,  0.1652626,       0.75,  0.1841110,       7.27,  0.2007788,       1.00,  0.1917463,  0.1219832, -0.1743361,   399
         P50440,      15.37,  0.2117640,      10.64,  0.3105396,      10.17,  0.2128173,       3.78,  0.2188789,       3.07,  0.2313366,       7.80,  0.1769854,       0.95,  0.1915842,  0.1860263, -0.1262921,   423
         P50163,      23.46,  0.2670133,      11.15,  0.2786292,       0.00,  0.1255137,       1.54,  0.1320704,       0.00,  0.1257200,      11.15,  0.2093910,       0.00,  0.1688039,  0.1288195, -0.2672565,   260
         P50162,      18.32,  0.2411463,      13.92,  0.3100634,       3.30,  0.1872055,       4.03,  0.1741952,       0.37,  0.1842521,       9.52,  0.2322011,       3.66,  0.1903097,  0.1561455, -0.2412195,   273
         P49888,      16.33,  0.2104701,      19.39,  0.3322515,       0.00,  0.2287839,       5.78,  0.1822096,       1.70,  0.1695671,      10.20,  0.2138375,       0.68,  0.1847226,  0.1839059, -0.0784696,   294
         P45741,      19.56,  0.2638743,      14.67,  0.3279270,       0.00,  0.1982236,       2.93,  0.2029001,       0.24,  0.2137263,       8.31,  0.2056710,       1.47,  0.2023498,  0.1350335, -0.1862296,   409
         P43155,      15.65,  0.2242981,      19.81,  0.3391317,       7.51,  0.2326211,       2.08,  0.1852277,       1.44,  0.1950449,       5.75,  0.1962436,       1.12,  0.1899911,  0.1726276, -0.1793027,   626
         Q9WUL6,      48.83,  0.4739268,      60.51,  0.5865257,      62.85,  0.5506981,      30.89,  0.3831163,      40.02,  0.4518991,      39.70,  0.4163520,      49.47,  0.4770861, -0.0745759, -0.1118604,   942
         Q99759,      42.01,  0.4538115,      54.31,  0.5535720,      51.60,  0.4923533,      36.90,  0.4061063,      44.09,  0.4634492,      42.17,  0.4481312,      45.37,  0.4695700, -0.0516536, -0.0252855,   626
         Q99683,      28.09,  0.3002469,      33.62,  0.4080808,      31.44,  0.3359551,      10.41,  0.2122521,      10.41,  0.2371059,      17.47,  0.2592528,      21.18,  0.2921489,  0.0971035, -0.1486247,  1374
         Q6ZN16,      30.69,  0.3418205,      29.40,  0.4094013,      23.15,  0.3269919,      16.07,  0.2396549,      16.22,  0.2866390,      18.96,  0.2818805,      20.87,  0.3143980,  0.0565499, -0.1150315,  1313
         Q5TCX8,      55.98,  0.5289897,      71.43,  0.6537400,      68.34,  0.5980517,      36.78,  0.3914003,      48.94,  0.4613545,      52.99,  0.5099023,      60.52,  0.5239067, -0.1280702, -0.0902328,  1036
         Q16584,      51.36,  0.5109005,      65.41,  0.6566872,      59.50,  0.5763362,      43.80,  0.4317872,      48.52,  0.5130953,      53.72,  0.5291153,      53.84,  0.5363206, -0.1100898, -0.0804193,   847
         Q13233,      47.82,  0.4710639,      60.71,  0.6063561,      55.89,  0.5438682,      36.97,  0.3660508,      43.45,  0.4494267,      47.88,  0.4822944,      51.59,  0.4865099, -0.0704215, -0.1301828,  1512
         Q13163,      22.32,  0.3013584,      21.21,  0.3459344,      18.08,  0.2892301,      13.17,  0.2310231,      11.61,  0.2335518,      12.95,  0.2503987,      15.40,  0.2752495,  0.0968363, -0.2033911,   448
         Q02779,      51.68,  0.5310352,      63.00,  0.6507564,      58.70,  0.5943058,      44.23,  0.4210615,      52.31,  0.5102649,      57.13,  0.5362044,      56.08,  0.5406042, -0.1299702, -0.1081639,   954
         P41279,      36.62,  0.3730604,      30.41,  0.4032992,      25.91,  0.2963043,      14.99,  0.2439892,      14.56,  0.2663301,      24.41,  0.2962781,      24.84,  0.3132103,  0.0255284, -0.1280371,   467
         P40136,      14.75,  0.1930571,      41.25,  0.4584295,      34.38,  0.3822447,       8.38,  0.2372348,       9.12,  0.2793438,      12.88,  0.2584918,       4.62,  0.2377594,  0.2026176, -0.0454005,   800
         Q9KMY3,      19.04,  0.2470307,      12.44,  0.3013733,       4.57,  0.1864585,       3.81,  0.1963200,       0.76,  0.1903233,       3.81,  0.1687044,       1.02,  0.1839587,  0.1506157, -0.1745547,   394
         P39662,      34.74,  0.3449449,      14.64,  0.3243217,       4.96,  0.2160945,       7.20,  0.2314318,       4.96,  0.2440979,       6.20,  0.2139925,       5.21,  0.2264649,  0.0526657, -0.1589262,   403
         P38051,      20.88,  0.2591427,      11.83,  0.3221911,       4.87,  0.1802192,       9.05,  0.2191140,       3.94,  0.2430337,       4.41,  0.1867995,       0.93,  0.2050468,  0.1389676, -0.1541232,   431
         P47244,      13.29,  0.1821249,      18.36,  0.3360738,       5.59,  0.1830408,       7.34,  0.2075310,       3.50,  0.2197906,       6.47,  0.2046393,       6.12,  0.2222001,  0.2132426, -0.1472778,   572
         P36871,       9.43,  0.2132381,      14.95,  0.3179657,       2.31,  0.1784977,       2.85,  0.1875125,       1.07,  0.1995311,       6.23,  0.1993982,       0.71,  0.1862742,  0.1851732, -0.2171406,   562
         P35914,      25.54,  0.2924100,      13.85,  0.3225394,      13.23,  0.2373351,       3.38,  0.1550924,       0.00,  0.1537286,      12.62,  0.2181668,      11.69,  0.2298787,  0.1054348, -0.3040569,   325
         P32169,       4.01,  0.1784807,       5.47,  0.2755547,       0.00,  0.1272950,       3.65,  0.2156690,       0.36,  0.2000709,       6.93,  0.1762798,       0.73,  0.1743425,  0.2197207, -0.2196230,   274
         P30101,      23.76,  0.2655310,      26.14,  0.3966369,       9.90,  0.2921638,       6.34,  0.2487014,       4.36,  0.2760330,       5.54,  0.2221209,       5.94,  0.2835312,  0.1312871, -0.0962998,   505
         Q6GZ04,      23.50,  0.3011737,      17.34,  0.3269556,       1.15,  0.2141211,       2.87,  0.1726148,       2.58,  0.1970747,       4.15,  0.2059786,       1.15,  0.2006328,  0.0985220, -0.2295717,   698
         Q68G84,      24.45,  0.2988877,      17.76,  0.3258260,       3.06,  0.2135533,       2.77,  0.1692229,       2.62,  0.1949770,       4.66,  0.2059975,       1.31,  0.1991518,  0.1010701, -0.2352831,   687
         P24481,      21.09,  0.3090947,      26.82,  0.3713968,       7.12,  0.2747241,       4.33,  0.2434222,       6.70,  0.2871872,       5.31,  0.2372604,       1.54,  0.2413934,  0.0916644, -0.1964496,   716
         P24182,      33.63,  0.3839588,      13.81,  0.3196233,       2.00,  0.2340597,       4.45,  0.2112345,       3.79,  0.2361398,       5.79,  0.2055625,       0.22,  0.2260866,  0.0153862, -0.2052362,   449
         P34736,      20.53,  0.2574874,      15.66,  0.3427286,       0.00,  0.1959286,       7.09,  0.2282044,       5.91,  0.2585157,       7.53,  0.2080085,       3.40,  0.2158240,  0.1395535, -0.2019188,   677
         P23254,      23.97,  0.2830549,      19.71,  0.3593935,       0.00,  0.2044180,       5.29,  0.2334832,       4.41,  0.2575026,       5.29,  0.2160991,       1.18,  0.2249221,  0.1139044, -0.1918544,   680
         P19938,      18.37,  0.2805892,      15.19,  0.3289600,       0.00,  0.2166527,       6.36,  0.2412289,       0.71,  0.2687922,       9.19,  0.2176959,       0.71,  0.2228778,  0.1206189, -0.1152559,   283
         P18079,      18.34,  0.2635309,      10.02,  0.3080510,       0.00,  0.1535032,       3.18,  0.1936339,       1.47,  0.1945804,       5.87,  0.1957140,       0.73,  0.1925850,  0.1355225, -0.2350735,   409
         Q5NHQ9,       8.01,  0.1695675,      13.89,  0.3069208,       0.00,  0.1777651,       3.59,  0.1411634,       1.31,  0.1525147,       5.56,  0.1715523,       1.31,  0.1569532,  0.2268047, -0.2167670,   612
         P17169,      29.23,  0.3407594,      12.48,  0.3246228,       0.00,  0.2003055,       6.73,  0.2038753,       4.60,  0.2348606,       3.61,  0.1878127,       1.15,  0.2153217,  0.0589117, -0.1954993,   609
         P16442,       9.32,  0.1699093,       8.19,  0.2662305,       1.41,  0.1869894,       3.39,  0.1355867,       1.41,  0.1226391,       7.63,  0.1684889,       1.69,  0.1438091,  0.2254601, -0.2157955,   354
         P15735,      27.59,  0.3110695,      20.94,  0.3522493,      11.33,  0.3098339,      11.58,  0.2417438,       7.39,  0.2372445,       5.42,  0.2080920,       5.42,  0.2250665,  0.0869495, -0.1425943,   406
         P14769,       7.61,  0.1306248,      14.67,  0.2865401,       6.79,  0.1751585,       5.43,  0.1519590,       2.72,  0.1352625,      11.14,  0.1844482,       3.80,  0.1481391,  0.2597100, -0.1262734,   368
         Q9UVX3,      28.66,  0.3090596,      29.27,  0.3796441,      21.34,  0.2847677,      21.95,  0.2555236,      19.92,  0.2710953,      14.43,  0.2745128,      20.93,  0.2957673,  0.0866164, -0.1197991,   492
         P30418,      20.18,  0.2464514,      31.04,  0.3795482,      22.62,  0.2940422,      11.75,  0.2137273,       7.54,  0.2112980,      10.42,  0.2453827,      17.29,  0.2650749,  0.1458091, -0.1169345,   451
         P14743,      17.58,  0.2251315,      25.93,  0.3692743,      18.68,  0.2757165,       9.67,  0.1857454,       5.05,  0.1775222,      15.82,  0.2322653,      17.14,  0.2442759,  0.1702481, -0.1182180,   455
         P12785,      25.55,  0.2885146,      18.64,  0.3391049,       9.10,  0.2455202,       4.43,  0.1954713,       3.51,  0.2234750,       5.27,  0.1926156,       2.32,  0.2065305,  0.1098743, -0.2265970,  2505
         P18440,       1.72,  0.1314682,      17.59,  0.2993915,       0.00,  0.1704542,       2.41,  0.1288748,       0.00,  0.1245601,       8.62,  0.1744769,       0.00,  0.1431286,  0.2667770, -0.1403548,   290
         P11245,      12.76,  0.2067685,      17.59,  0.2952359,       0.00,  0.1982143,       3.45,  0.1463034,       0.00,  0.1310021,      10.34,  0.2010444,       2.07,  0.1633924,  0.1879840, -0.1686656,   290
         Q8NNJ2,      63.70,  0.6010938,      55.11,  0.5537607,      59.26,  0.5263255,      26.96,  0.4123815,      62.07,  0.5666949,      42.07,  0.4559998,      57.04,  0.5193756, -0.2008500, -0.0836252,   675
         P11961,      36.45,  0.4108857,      35.75,  0.4546885,      38.08,  0.4106660,      20.79,  0.3132587,      23.36,  0.3777854,      25.23,  0.3241198,      27.34,  0.3819006, -0.0107060, -0.1684246,   428
         P10802,      56.74,  0.5355726,      48.75,  0.5066422,      49.22,  0.4595585,      13.95,  0.2760715,      22.57,  0.3531578,      28.84,  0.3576579,      31.82,  0.4147767, -0.1342888, -0.2947981,   638
         P20708,      53.13,  0.4876536,      38.85,  0.4792485,      31.08,  0.3740335,       6.27,  0.2650850,      20.30,  0.3237066,      30.83,  0.3463092,      30.33,  0.3793393, -0.0847837, -0.2574220,   399
         P0AFG7,      57.28,  0.5252444,      36.54,  0.4783757,      36.30,  0.4007457,      22.96,  0.3163870,      30.37,  0.3850367,      29.38,  0.3766423,      31.36,  0.4137388, -0.1245043, -0.1766746,   405
         P45208,      19.52,  0.2454589,      12.67,  0.2943989,       0.00,  0.1280270,       4.45,  0.1922455,       2.05,  0.1906591,       4.79,  0.1804194,       1.37,  0.1838636,  0.1531398, -0.1843235,   292
         P42898,      27.29,  0.3036945,      25.61,  0.3710338,      14.94,  0.2899449,      11.13,  0.2225889,      12.35,  0.2545585,      15.09,  0.2648368,      13.87,  0.2844430,  0.0933492, -0.1000006,   656
